title,text,link,source
"Coronavirus Updates: Confirmed cases in Maharashtra ..,074 new infections reported today; toll reaches 8,671","Coronavirus Updates: According to a state health department bulletin, over 1.98 lakh patients have been discharged till date and the recovery rate stands at ...",Firstpost,https://www.news.google.com/./articles/CAIiEOUglm51QmjxTUjbr2vhX40qGAgEKg8IACoHCAow5v6PATDrwA8wr93OBg?hl=en-PK&gl=PK&ceid=PK%3Aen
India coronavirus numbers explained: Four states growing faster than national average,"India Coronavirus, Covid-19 Cases Tracker Today Latest News Update: Tamil Nadu, Karnataka, Telangana, and Andhra Pradesh are now in the top ten list of ...",The Indian Express,https://www.news.google.com/./articles/CAIiEP9Aw8GEwRsrC4A2Ec4NBqoqGAgEKg8IACoHCAow3rvTBDD89X4wwLbmBQ?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus (COVID-19) Update: Daily Roundup July 1, 2020","The U.S. Food and Drug Administration today announced the following actions taken in its ongoing response effort to the COVID-19 pandemic: Today, the U.S. ...",FDA.gov,https://www.news.google.com/./articles/CBMiaWh0dHBzOi8vd3d3LmZkYS5nb3YvbmV3cy1ldmVudHMvcHJlc3MtYW5ub3VuY2VtZW50cy9jb3JvbmF2aXJ1cy1jb3ZpZC0xOS11cGRhdGUtZGFpbHktcm91bmR1cC1qdWx5LTEtMjAyMNIBAA?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus daily news updates, July 4: What to know today about COVID-19 in the Seattle area, Washington state and the world","Editor's note: This is a live account of COVID-19 updates from Saturday, July 4, as the day unfolded. It is no longer being updated. Click here to see all the most ...",Seattle Times,https://www.news.google.com/./articles/CBMirAFodHRwczovL3d3dy5zZWF0dGxldGltZXMuY29tL3NlYXR0bGUtbmV3cy9oZWFsdGgvY29yb25hdmlydXMtZGFpbHktbmV3cy11cGRhdGVzLWp1bHktNC13aGF0LXRvLWtub3ctdG9kYXktYWJvdXQtY292aWQtMTktaW4tdGhlLXNlYXR0bGUtYXJlYS13YXNoaW5ndG9uLXN0YXRlLWFuZC10aGUtd29ybGQv0gGyAWh0dHBzOi8vd3d3LnNlYXR0bGV0aW1lcy5jb20vc2VhdHRsZS1uZXdzL2hlYWx0aC9jb3JvbmF2aXJ1cy1kYWlseS1uZXdzLXVwZGF0ZXMtanVseS00LXdoYXQtdG8ta25vdy10b2RheS1hYm91dC1jb3ZpZC0xOS1pbi10aGUtc2VhdHRsZS1hcmVhLXdhc2hpbmd0b24tc3RhdGUtYW5kLXRoZS13b3JsZC8_YW1wPTE?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus India Updates, 04 July: Bihar CM Nitish Kumar sends swab sample for Covid test after attending event with infected BJP leader","Coronavirus India News Updates Today, Covid-19 Tracker, Corona Cases in India News Update: Tamil Nadu has become the second Indian state, after ...",The Indian Express,https://www.news.google.com/./articles/CAIiEDNlXwspx9tU2f1cEjaljMwqGAgEKg8IACoHCAow3rvTBDD89X4w8ZXmBQ?hl=en-PK&gl=PK&ceid=PK%3Aen
"As coronavirus cases skyrocket, US marks July Fourth with pleas for people to skip the parties","After a week of skyrocketing coronavirus cases in the United States, officials are issuing a stark warning this July Fourth: Skip the parties.",CNN,https://www.news.google.com/./articles/CAIiEEm1tluI1W0Zv3IGGp-0SX4qGQgEKhAIACoHCAowocv1CjCSptoCMPrTpgU?hl=en-PK&gl=PK&ceid=PK%3Aen
Coronavirus update: Trump says U.S. has ‘made a lot of progress’ controlling the pandemic as the country logs 26th straight day of record average case totals,"President Trump said Saturday that his administration had “made a lot of progress” on controlling the novel coronavirus pandemic, even as the seven-day ...",The Washington Post,https://www.news.google.com/./articles/CAIiEEiI4da5FpYdEeIY301qBfkqGAgEKg8IACoHCAowjtSUCjC30XQw1o3TBg?hl=en-PK&gl=PK&ceid=PK%3Aen
WHO says Pakistan should reimpose lockdown to curb coronavirus,"Cases increased exponentially since the lockdown was lifted in late May, with record-high cases registered on Tuesday.",Al Jazeera English,https://www.news.google.com/./articles/CAIiEDqnVi1rh3adLYZRPgc8fywqFAgEKgwIACoFCAowhgIwkDgw0O8B?hl=en-PK&gl=PK&ceid=PK%3Aen
"U.S. Coronavirus Cases Are Rising Sharply, but Deaths Are Still Down","After a minor late-spring lull, the number of confirmed coronavirus cases in the United States is once again on the rise. States like Arizona, Florida and Texas are ...",The New York Times,https://www.news.google.com/./articles/CAIiELahHh62kWiKONg666dsvAoqFwgEKg8IACoHCAowjuuKAzCWrzwwxoIY?hl=en-PK&gl=PK&ceid=PK%3Aen
"Coronavirus Australia live news: Victoria reports 67 new cases, Daniel Andrews announces support for public housing residents in lockdown","Victoria's Chief Health Officer Brett Sutton says four more cases of COVID-19 have been linked to Melbourne public housing units under lockdown, warning that ...",ABC News,https://www.news.google.com/./articles/CAIiEAQknYwXAbqYCyzFoUyIAS8qFwgEKg4IACoGCAow3vI9MPeaCDDEvrgG?hl=en-PK&gl=PK&ceid=PK%3Aen
